Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
21.0,Elberryl,BOOM Esports,6.0,6.0,308.0,1851.0,5.0,8.0,1.0,1.0,120.0,8109.0,1575.0,1209.0,6.0,17.0,14.0,1.0,0.0,43504.0,10695.0,54199.0,Group B
22.0,4YDO,Nigma Galaxy,6.0,6.0,303.0,1822.0,3.0,8.0,2.0,1.0,200.0,7471.0,1131.0,706.0,6.0,13.0,7.0,0.0,0.0,44252.0,8739.0,52991.0,Group B
23.0,Devil,XForce Rejects,6.0,6.0,237.0,1422.0,3.0,6.0,1.0,1.0,263.0,7850.0,1269.0,713.0,6.0,11.0,5.0,0.0,0.0,37089.0,10200.0,47289.0,Group B
24.0,Shiva,XForce Rejects,6.0,6.0,222.0,1335.0,3.0,5.0,3.0,1.0,295.0,7890.0,1188.0,554.0,6.0,14.0,5.0,0.0,0.0,44899.0,9091.0,53990.0,Group B
25.0,Baby,XForce Rejects,6.0,6.0,222.0,1333.0,2.0,4.0,1.0,1.0,238.0,6459.0,1438.0,363.0,6.0,12.0,7.0,0.0,1.0,23702.0,9628.0,33330.0,Group B
26.0,Coa77,The Vicious,6.0,6.0,194.0,1167.0,4.0,6.0,2.0,1.0,164.0,6419.0,1377.0,383.0,5.0,5.0,6.0,0.0,0.0,47774.0,8389.0,56163.0,Group B
27.0,Rafinha,Loops Esports,6.0,5.0,304.0,1827.0,6.0,5.0,2.0,0.83,286.0,7437.0,1348.0,426.0,6.0,4.0,1.0,0.0,0.0,18287.0,10934.0,29221.0,Group B
28.0,Vitinn,Loops Esports,6.0,5.0,266.0,1596.0,4.0,8.0,1.0,0.83,315.0,7471.0,1451.0,431.0,6.0,7.0,6.0,1.0,0.0,36835.0,10259.0,47094.0,Group B
29.0,B5eT,R8 Esports,6.0,5.0,265.0,1591.0,5.0,6.0,2.0,0.83,287.0,6656.0,1713.0,722.0,6.0,14.0,5.0,2.0,0.0,30837.0,9219.0,40056.0,Group B
30.0,Icy,The Vicious,6.0,5.0,260.0,1563.0,2.0,5.0,0.0,0.83,157.0,7205.0,1273.0,620.0,5.0,19.0,6.0,1.0,0.0,39486.0,9568.0,49054.0,Group B
31.0,Scarface,ULF Esports,6.0,5.0,192.0,1156.0,5.0,3.0,3.0,0.83,180.0,5990.0,1658.0,707.0,5.0,12.0,13.0,0.0,0.0,27861.0,7084.0,34945.0,Group B
32.0,LORD,Nigma Galaxy,6.0,5.0,184.0,1108.0,3.0,4.0,1.0,0.83,158.0,7580.0,1343.0,731.0,6.0,7.0,8.0,0.0,0.0,42609.0,10719.0,53328.0,Group B
33.0,Diego,Loops Esports,6.0,5.0,176.0,1056.0,4.0,7.0,1.0,0.83,197.0,8148.0,1085.0,170.0,6.0,14.0,10.0,0.0,0.0,30367.0,11015.0,41382.0,Group B
34.0,Fearless,Trained to Kill,6.0,5.0,150.0,901.0,2.0,6.0,2.0,0.83,251.0,6414.0,1094.0,334.0,6.0,1.0,2.0,0.0,0.0,40224.0,7335.0,47559.0,Group B
35.0,Zwolf,FUT Esports,6.0,4.0,347.0,2086.0,3.0,8.0,0.0,0.67,174.0,7440.0,1219.0,449.0,6.0,6.0,7.0,0.0,0.0,41547.0,8521.0,50068.0,Group B
36.0,EFFYIS,TT Project,6.0,4.0,208.0,1252.0,3.0,5.0,1.0,0.67,54.0,7434.0,1310.0,1799.0,6.0,12.0,5.0,0.0,0.0,52786.0,8735.0,61521.0,Group B
37.0,DORIN23,The Vicious,6.0,4.0,203.0,1219.0,4.0,6.0,1.0,0.67,69.0,6003.0,1362.0,498.0,5.0,5.0,4.0,0.0,0.0,58355.0,6327.0,64682.0,Group B
38.0,Law,Loops Esports,6.0,4.0,192.0,1155.0,5.0,5.0,1.0,0.67,238.0,8052.0,1661.0,684.0,6.0,16.0,5.0,0.0,0.0,37781.0,9684.0,47465.0,Group B
39.0,Baton,Wolves Esports,6.0,4.0,184.0,1108.0,1.0,5.0,1.0,0.67,61.0,7388.0,1829.0,961.0,5.0,18.0,6.0,1.0,1.0,38443.0,9018.0,47461.0,Group B
40.0,Igneous,Trained to Kill,6.0,4.0,170.0,1020.0,2.0,3.0,1.0,0.67,301.0,6489.0,1292.0,380.0,6.0,9.0,5.0,0.0,0.0,35064.0,9617.0,44681.0,Group B
41.0,Marth,R8 Esports,6.0,4.0,168.0,1009.0,3.0,5.0,0.0,0.67,51.0,6515.0,1418.0,598.0,6.0,14.0,12.0,1.0,0.0,27300.0,9427.0,36727.0,Group B
42.0,RAGNARoK,Geekay Esports,6.0,4.0,156.0,938.0,4.0,4.0,0.0,0.67,129.0,6331.0,1180.0,836.0,5.0,7.0,13.0,0.0,0.0,38123.0,7796.0,45919.0,Group B
