Player,Team,Elims,Avg Dmg Dealt,Assists,Knocks,KD Ratio,Stage
HamsiG,S2G Esports,22.0,352.0,7.0,20.0,1.83,Grand Finals
NEOZ,TT Project,21.0,321.0,7.0,21.0,1.75,Grand Finals
Silenceee,FURIA,20.0,335.0,15.0,21.0,1.67,Grand Finals
T24OP,4Thrives Esports,20.0,329.0,13.0,17.0,1.67,Grand Finals
SkY,Horaa Esports,19.0,373.0,10.0,20.0,1.58,Grand Finals
IQ,4Thrives Esports,19.0,349.0,12.0,21.0,1.58,Grand Finals
Focus,GOAT Team,19.0,333.0,6.0,19.0,1.58,Grand Finals
HUZAIFA,4Thrives Esports,19.0,300.0,6.0,17.0,1.58,Grand Finals
FALAK,4Thrives Esports,19.0,297.0,10.0,16.0,1.58,Grand Finals
Eren7,ULF Esports,19.0,287.0,10.0,17.0,1.58,Grand Finals
Scarface,ULF Esports,18.0,361.0,14.0,14.0,1.5,Grand Finals
Swash,Gaming Star Esports,17.0,337.0,8.0,22.0,1.42,Grand Finals
DOK,Aurora Gaming,17.0,325.0,7.0,17.0,1.42,Grand Finals
FORCE,GOAT Team,17.0,292.0,8.0,15.0,1.42,Grand Finals
Kamikaze,S2G Esports,15.0,323.0,6.0,19.0,1.25,Grand Finals
Yummy,BOOM Esports,15.0,305.0,6.0,15.0,1.25,Grand Finals
Jowker,eArena,15.0,208.0,11.0,11.0,1.25,Grand Finals
SchwepXz,eArena,14.0,227.0,13.0,12.0,1.17,Grand Finals
MORMAN,eArena,14.0,213.0,10.0,10.0,1.17,Grand Finals
Okta,BOOM Esports,13.0,328.0,7.0,17.0,1.08,Grand Finals
SleepY,Horaa Esports,13.0,308.0,5.0,22.0,1.08,Grand Finals
win,Team Flash,13.0,294.0,5.0,15.0,1.08,Grand Finals
TernyK,eArena,13.0,263.0,18.0,15.0,1.08,Grand Finals
NoFear,Horaa Esports,13.0,245.0,3.0,13.0,1.08,Grand Finals
REFUS,Aurora Gaming,12.0,280.0,11.0,17.0,1.0,Grand Finals
Elberryl,BOOM Esports,12.0,270.0,8.0,11.0,1.0,Grand Finals
Reizy,Bigetron by Vitality,12.0,248.0,9.0,16.0,1.0,Grand Finals
Zhius,Team Flash,12.0,235.0,9.0,12.0,1.0,Grand Finals
ZERYCH,TT Project,12.0,231.0,10.0,10.0,1.0,Grand Finals
Higor,FURIA,12.0,220.0,12.0,15.0,1.0,Grand Finals
Axel,Bigetron by Vitality,12.0,194.0,6.0,9.0,1.0,Grand Finals
Rolex20,Gaming Star Esports,11.0,325.0,9.0,19.0,0.92,Grand Finals
MALIK,721 Esports,11.0,265.0,5.0,15.0,0.92,Grand Finals
Chieff,FURIA,11.0,265.0,14.0,10.0,0.92,Grand Finals
Rehan,721 Esports,11.0,253.0,12.0,10.0,0.92,Grand Finals
Masko,721 Esports,11.0,193.0,8.0,14.0,0.92,Grand Finals
TOP,Aurora Gaming,10.0,363.0,11.0,16.0,0.83,Grand Finals
Bowz,Team Flash,10.0,243.0,3.0,14.0,0.83,Grand Finals
Reyzak,Bigetron by Vitality,10.0,204.0,9.0,12.0,0.83,Grand Finals
Topz,Team Flash,10.0,189.0,6.0,14.0,0.83,Grand Finals
EFFECT,TT Project,9.0,251.0,8.0,13.0,0.75,Grand Finals
EZ4BADBOY,Geekay Esports,9.0,208.0,5.0,12.0,0.75,Grand Finals
SAFG,Geekay Esports,9.0,185.0,4.0,10.0,0.75,Grand Finals
EFFYIS,TT Project,9.0,180.0,6.0,10.0,0.75,Grand Finals
Sanju,BOOM Esports,9.0,175.0,3.0,12.0,0.75,Grand Finals
Solkay,S2G Esports,9.0,174.0,4.0,8.0,0.75,Grand Finals
Mani4c,Gaming Star Esports,9.0,161.0,6.0,7.0,0.75,Grand Finals
JooBrenky,Team Pandum,9.0,157.0,5.0,7.0,0.75,Grand Finals
Zyol,Aurora Gaming,8.0,239.0,7.0,13.0,0.67,Grand Finals
KEVIN,Geekay Esports,8.0,155.0,3.0,8.0,0.67,Grand Finals
AYATO,GOAT Team,7.0,227.0,10.0,8.0,0.58,Grand Finals
Lost,S2G Esports,7.0,132.0,10.0,3.0,0.58,Grand Finals
FEDERALES,Bigetron by Vitality,6.0,232.0,13.0,12.0,0.5,Grand Finals
Soulless,ULF Esports,6.0,187.0,14.0,8.0,0.5,Grand Finals
MOXXXYY,GOAT Team,6.0,151.0,9.0,5.0,0.5,Grand Finals
Yuseph,Gaming Star Esports,5.0,257.0,8.0,4.0,0.42,Grand Finals
RAGNARoK,Geekay Esports,4.0,192.0,8.0,6.0,0.33,Grand Finals
LeonDZ,Team Pandum,4.0,109.0,3.0,6.0,0.33,Grand Finals
JiGGL3,Horaa Esports,4.0,83.0,5.0,3.0,0.33,Grand Finals
ALEKO,721 Esports,3.0,99.0,6.0,6.0,0.25,Grand Finals
Frenzzy,Team Pandum,3.0,80.0,1.0,4.0,0.25,Grand Finals
Dimzy,Team Pandum,1.0,75.0,0.0,4.0,0.08,Grand Finals
